Ship Mode,Segment,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Shipping days,latitude,longitude
Standard Class,Consumer,Henderson,Kentucky,42420.0,South,Furniture,Furnishings,182.745,2.0,0.0,41.9136,3.0,37.83,-87.58
Second Class,Consumer,Henderson,Kentucky,42420.0,South,Furniture,Furnishings,731.94,3.0,0.0,219.582,3.0,37.83,-87.58
Second Class,Corporate,Los Angeles,California,90036.0,West,Office Supplies,Binders,14.62,2.0,0.0,6.8714,4.0,34.06,-118.35
Standard Class,Consumer,Fort Lauderdale,Florida,33311.0,South,Furniture,Furnishings,957.5775,5.0,0.2,-383.031,7.0,26.14,-80.17
Standard Class,Consumer,Fort Lauderdale,Florida,33311.0,South,Office Supplies,Binders,22.368,2.0,0.2,2.5164,7.0,26.14,-80.17
Standard Class,Consumer,Los Angeles,California,90032.0,West,Furniture,Furnishings,48.86,7.0,0.0,14.1694,5.0,34.08,-118.17
Standard Class,Consumer,Los Angeles,California,90032.0,West,Office Supplies,Binders,7.28,4.0,0.0,1.9656,5.0,34.08,-118.17
Standard Class,Consumer,Los Angeles,California,90032.0,West,Technology,Phones,907.152,6.0,0.2,90.7152,5.0,34.08,-118.17
Standard Class,Consumer,Los Angeles,California,90032.0,West,Office Supplies,Binders,18.504,3.0,0.2,5.7825,5.0,34.08,-118.17
Standard Class,Consumer,Los Angeles,California,90032.0,West,Office Supplies,Binders,114.9,5.0,0.0,34.47,5.0,34.08,-118.17
Standard Class,Consumer,Los Angeles,California,90032.0,West,Furniture,Furnishings,1706.184,9.0,0.2,85.3092,5.0,34.08,-118.17
Standard Class,Consumer,Los Angeles,California,90189.0,West,Technology,Phones,911.424,4.0,0.2,68.3568,4.0,34.06,-118.25
Standard Class,Consumer,Concord,North Carolina,28027.0,South,Office Supplies,Binders,15.552,3.0,0.2,5.4432,5.0,35.41,-80.68
Standard Class,Consumer,Seattle,Washington,98103.0,West,Office Supplies,Binders,407.976,3.0,0.2,132.5922,5.0,47.67,-122.34
Standard Class,Home Office,Fort Worth,Texas,76106.0,Central,Office Supplies,Binders,26.968,3.770643976020112,0.8,-123.858,4.0,32.82,-97.36
Standard Class,Home Office,Fort Worth,Texas,76199.0,Central,Office Supplies,Binders,2.544,3.0,0.8,-3.816,4.0,32.75,-97.33
Standard Class,Consumer,Madison,Wisconsin,53794.0,Central,Office Supplies,Binders,26.968,6.0,0.0,13.3176,7.0,43.07,-89.38
Second Class,Consumer,West Jordan,Utah,84084.0,West,Office Supplies,Binders,55.5,2.0,0.0,9.99,2.0,40.62,-111.98
Second Class,Consumer,San Francisco,California,94109.0,West,Office Supplies,Binders,8.56,2.0,0.0,2.4824,5.0,37.79,-122.42
Second Class,Consumer,San Francisco,California,94109.0,West,Technology,Phones,213.48,3.0,0.2,16.011,4.0,37.79,-122.42
Second Class,Consumer,San Francisco,California,94109.0,West,Office Supplies,Binders,22.72,3.770643976020112,0.0,7.384,5.0,37.79,-122.42
Standard Class,Consumer,Fremont,Nebraska,68025.0,Central,Office Supplies,Binders,19.46,7.0,0.0,5.0596,4.0,41.44,-96.49
Standard Class,Corporate,Fremont,Nebraska,68025.0,Central,Office Supplies,Binders,60.34,7.0,0.0,15.6884,4.0,41.44,-96.49
Second Class,Consumer,Philadelphia,Pennsylvania,19140.0,East,Furniture,Furnishings,71.372,2.0,0.3,-1.0196,2.0,40.01,-75.15
